asset,role,local_path,access_status,license_or_restriction,identity_language_caveat,next_action
FLOAT motion bank,correlated proposal pilot,probe/motion_bank,available locally,CC BY-NC-ND 4.0 per third_party/float/README.md and LICENSE.md; source portrait rights remain separate,not independent teachers,retain as non-commercial pilot falsifier only
SMIRK tracked motion,53-D target/teacher motion,probe/motion,available locally,checkpoint/model terms require citation,identity clips are separate held-out utterances,document provenance and tracker confidence
XLS-R features,multilingual audio representation,probe/features_xlsr,available locally,Hugging Face model card and local checkpoint terms,language identity is not balanced in current five identities,add same-speaker bilingual clips
FLAME 2020 generic model,anatomical coefficient masks,assets/FLAME2020/generic_model.pkl,available locally,FLAME model license applies; see assets/FLAME2020/Readme.pdf,coefficient influence is a proxy for 53-D SMIRK regions,retain license record and cite FLAME
FLAME vertex masks,lip/eye/face regions,assets/FLAME_masks.pkl,available locally,local asset provenance must be retained,mask regions are anatomical vertices not coefficient semantics,version checksum in release
HDTF,pretraining/evaluation candidate,external only,repository metadata available,video-source rights and annotation/release license must be separated,English-centric and identity/video availability vary,audit each downloaded source before use
MultiTalk,multilingual pretraining/evaluation candidate,external only,repository metadata available,non-commercial research only; do not redistribute raw clips,identity and language can be confounded,collect bilingual same-identity subset or restrict claim
MEAD,emotion/pose proposal training candidate,external only,source metadata only,license unresolved in current dossier,actors and language coverage are not a multilingual proof,complete license audit before download
Multiface,high-quality neural rendering candidate,external only,source metadata only,CC BY-NC 4.0,13 identities but massive storage and no bilingual guarantee,plan only if storage and license budget permit
InsTaG,clean renderer baseline,external worktree/reference,reference available,code and checkpoint terms require audit,default adaptation is about 10 seconds not automatically a 5-second baseline,rerun 125-frame baseline before comparison
SadTalker,independent proposal route candidate,external only,repository metadata available,repository says Apache-2.0 but checkpoints/third-party assets need audit,output space must be mapped to common 53-D motion,license audit and inverse-fit experiment
UniTalker D1,independent FLAME proposal route candidate,external only,repository metadata available,implementation and model terms require audit,identity template and inverse-fit details must be kept separate,implement only after PairJudge motion pass
EmoTaG public evaluation folder,processed neutral and MEAD test scenes,/mnt/disk_2/shared/data/nhanht41-EmoTaG-test_data,52/52 files downloaded and hashed; neutral_Obama data check passes,Google Drive availability is not a redistribution grant; audit EmoTaG/HDTF/MEAD/source-video/checkpoint terms,11 neutral identities plus emotional MEAD sets; do not infer multilingual coverage from filenames,finish exact environment build; regenerate Sapiens priors; run adaptation smoke test
EmoTaG pretrained motion checkpoint,multi-identity EMA GRMN prior,/mnt/disk_2/shared/data/nhanht41-EmoTaG-checkpoint/chkpnt_ema_face_latest.pth,downloaded and hashed,Public checkpoint availability is not a commercial or redistribution grant; third-party terms remain separate,Pretrained on the released HDTF identity list; not an independent teacher,load in release-matched environment and record tuple/iteration metadata
SubtleTalk-Face,large-scale weakly-correlated facial dynamics dataset,local checkout (not published),repo metadata only; dataset release status not verified locally,MM 2026 paper states about 3900 identities and 74 hours; wait for official release/license,upper-face pseudo-label quality and redistribution terms remain unknown,monitor official project/repository release before relying on it
