work,year,primary_signal,occupied_claim,pairtalk_boundary,evidence,status
SubtleTalk,2026,residual flow matching,Residual refinement for weakly correlated dynamics,Same-utterance target paired correction plus counterfactual certificate,research/papers/text/2608.06408.txt,fetched
TT-SAC,2026,encoder-generator feedback,Test-time self-adaptive conditioning without supervision,Support-supervised teacher-real transport with abstention,research/papers/text/2605.25488.txt,fetched
TokTalk,2026,audio-LLM tokens and flow matching,Lightweight adaptation for expressive facial animation,No token/style headline; paired target support is required,research/papers/text/2605.31294.txt,fetched
KM-Speaker,2026,keypoint-conditioned flow,Reference style and dialogue localization,No copied reference style; target-own-audio paired residual evidence,research/papers/text/2606.28568.txt,fetched
CETalk,2026,continuous VA and multi-scale fusion,Emotion modulation and adaptive temporal fusion,Emotion-agnostic paired correction with support certificate,research/papers/text/2608.15110.txt,fetched
EmoTaG,2026,FLAME-Gaussian GRMN + AdaIN,Five-second gated residual 3DGS personalization,Explicitly avoid GRMN/AdaIN novelty; inject certified pair correction before FLAME deformation,research/papers/text/2603.21332.txt; research/EmoTaG_repro_plan.md,audited
PairTangent,2026,differential residual field,Target-specific residual velocity transport,Already implemented and utility gate failed; not the final headline,research/PairTangent_architecture_spec.md,mechanism-pass-utility-fail
Strict XLS-R residual,2026,audio-conditioned paired residual,Utility primitive rather than complete architecture,Use as frozen baseline for certified paired transport,probe/results/audio_residual_xlsr_strict_7id_control.md,utility-survives
PairScope FLAME proxy,2026,paired residual chart under generic FLAME surface Gram,Renderer-observable target-specific correction chart,Actual personalized-renderer Jacobian and image-space certificate still required,research/PairScope_architecture_spec.md,proxy-mechanism-fail-utility-fail
PairLift actual renderer,2026,signed personalized-renderer Gauss-Newton feedback,Support-image error lifted into audio-predictable motion,Static and shuffled controls beat aligned correction,research/PairLift_actual_renderer_obama.md,mechanism-fail-image-fail
Learn2Talk,2024,2D teacher and 3D sync expert,2D teacher supervision for 3D facial motion,Target-support nuisance quotient rather than teacher distillation,research/papers/text/2404.12888.txt,fetched-audited
TexTalker,2025,joint motion-wrinkle diffusion and pivot style injection,Personalized dynamic texture and disentangled motion-wrinkle style,No dynamic-texture headline; quotient frozen-renderer error modulo support nuisance,research/papers/text/2503.00495.txt,fetched-audited
Follow Your Motion,2025,multi-scale trajectory guidance and landmark-reweighted diffusion editing,Post-render temporal consistency correction,No editing or trajectory headline; infer motion through support-only quotient renderer feedback,research/papers/text/2503.22225.txt,fetched-audited
3DiFACE,2025,viseme-level diffusion with one-minute style tuning and sparse keyframe guidance,Personalized diverse motion generation and editing,No generic personalization/editing headline; five-second paired renderer-error quotient,research/papers/text/2509.26233.txt,fetched-audited
MANGO,2026,alternating 3D motion and 3DGS training with image-level loss,2D photometric supervision improves pseudo-3D motion,Support-time nuisance equivalence class plus certificate rather than joint renderer training,research/papers/text/2601.01749.txt,fetched-audited
SuperHead,2026,multi-view multi-expression dynamics-aware 3D GAN inversion,Dynamic inverse rendering for animatable avatar super-resolution,Speech-protected nuisance removal before signed motion lift,research/papers/text/2602.06122.txt,fetched-audited
FG-3DGS,2026,frequency-aware regional deformation and post-render alignment,Frequency-separated fine-grained 3DGS facial control,Low-frequency nuisance is residualized against protected speech and quotiented rather than modeled as facial motion,research/papers/text/2602.09736.txt,fetched-audited
PD-GS,2026,time-aligned phonemes plus gated linguistic fusion,Discrete articulatory constraints for 3DGS lips,No phoneme/gating claim; target-specific quotient of paired renderer residuals,research/papers/text/2608.05218.txt,fetched-audited
AnyTalk,2026,zero-audio character tuning and landmark-based 2D-to-3D uplift,Animation-free adaptation for arbitrary rigged characters,Same-utterance real residuals and renderer-Jacobian quotient rather than generated-video uplift,research/papers/text/2608.16143.txt,fetched-audited
PairQuotient,2026,support-time nuisance quotient before signed renderer lift,Nuisance-invariant audio-predictable personalized-renderer correction,Requires new-identity certificate and multi-identity image evidence,research/PairTalk_major_conference_architecture_2026.md,synthetic-only
